%time,field.data
610120000000,-0.0606334209442
610120000000,-0.0582250356674
610160000000,-0.055634200573
610160000000,-0.0539956092834
610160000000,-0.0515029430389
610200000000,-0.048256278038
610200000000,-0.0456853508949
610220000000,-0.0446970462799
610240000000,-0.0415828227997
610280000000,-0.0404523015022
610320000000,-0.037673830986
610320000000,-0.0363119244576
610360000000,-0.0342210531235
610360000000,-0.0323791503906
610400000000,-0.0301147699356
610400000000,-0.0286306738853
610440000000,-0.0263114571571
610440000000,-0.0247297286987
610480000000,-0.0234575271606
610480000000,-0.0211018919945
610520000000,-0.0182278752327
610520000000,-0.0167641043663
610560000000,-0.015175819397
610560000000,-0.0134980082512
610600000000,-0.0134999752045
610600000000,-0.0113851428032
610640000000,-0.00881445407867
610640000000,-0.00806909799576
610680000000,-0.0078752040863
610680000000,-0.00760251283646
610680000000,-0.00578308105469
610720000000,-0.00530648231506
610720000000,-0.00453150272369
610760000000,-0.00408458709717
610760000000,-0.0035292506218
610800000000,-0.00297868251801
610800000000,-0.00351256132126
610840000000,-0.00259220600128
610840000000,-0.00263118743896
610890000000,-0.000675976276398
610890000000,-0.00160348415375
610930000000,0.000641584396362
610930000000,0.000959753990173
610970000000,0.000739693641663
610970000000,0.0017626285553
611010000000,0.0022896528244
611010000000,0.00305211544037
611050000000,0.00312113761902
611050000000,0.00329983234406
611090000000,0.00310850143433
611090000000,0.00292575359344
611130000000,0.00336098670959
611130000000,0.00304210186005
611170000000,0.0024299621582
611170000000,0.00240445137024
611210000000,0.00186061859131
611210000000,0.0028361082077
611250000000,0.00173151493073
611250000000,0.00244450569153
611290000000,0.00190627574921
611290000000,0.000191807746887
611330000000,0.000532269477844
611330000000,0.000258088111877
611370000000,-0.000995814800262
611370000000,-0.00174480676651
611410000000,-0.00108563899994
611410000000,-0.00125372409821
611450000000,-0.00119417905807
611450000000,-0.00278252363205
611490000000,-0.0032080411911
611490000000,-0.00311607122421
611530000000,-0.00341206789017
611530000000,-0.00275897979736
611570000000,-0.00334346294403
611570000000,-0.00518959760666
611610000000,-0.00536787509918
611610000000,-0.00572782754898
611650000000,-0.00644814968109
611650000000,-0.00631964206696
611690000000,-0.00704616308212
611690000000,-0.00693011283875
611730000000,-0.00661039352417
611730000000,-0.00942862033844
611770000000,-0.00757932662964
611770000000,-0.0107558965683
611810000000,-0.00938779115677
611810000000,-0.0108105540276
611860000000,-0.00962126255035
611860000000,-0.00972783565521
611900000000,-0.011207818985
611900000000,-0.0102103948593
611940000000,-0.0105432271957
611940000000,-0.0116421580315
611980000000,-0.0124325752258
611980000000,-0.0129192471504
612020000000,-0.0141216516495
612020000000,-0.0145118236542
612060000000,-0.0153069496155
612060000000,-0.0150794386864
612100000000,-0.0170993804932
612100000000,-0.0172280669212
612140000000,-0.0171863436699
612140000000,-0.0173811912537
612140000000,-0.0187708735466
612180000000,-0.0195420384407
612180000000,-0.0203480124474
612220000000,-0.0193775296211
612220000000,-0.0208600759506
612260000000,-0.0199698805809
612260000000,-0.0213103294373
612310000000,-0.0211426019669
612310000000,-0.0230444669724
612350000000,-0.0229266881943
612350000000,-0.0209894776344
612390000000,-0.0226502418518
612390000000,-0.0210275053978
612430000000,-0.0228147506714
612430000000,-0.0232042074203
612470000000,-0.0239530205727
612470000000,-0.0222753882408
612510000000,-0.0237510204315
612510000000,-0.0236290693283
612550000000,-0.0239714384079
612550000000,-0.0243369936943
612590000000,-0.024565756321
612590000000,-0.0257530212402
612630000000,-0.0250608921051
612630000000,-0.0255634188652
612670000000,-0.0254341959953
612670000000,-0.0257942676544
612710000000,-0.0256999135017
612710000000,-0.0264339447021
612750000000,-0.025973200798
612750000000,-0.0264095067978
612790000000,-0.0267242193222
612790000000,-0.0275703072548
612830000000,-0.0277352333069
612830000000,-0.0271735787392
612870000000,-0.0273646712303
612870000000,-0.0266537666321
612910000000,-0.0277369022369
612910000000,-0.0286341905594
612950000000,-0.0295579433441
612950000000,-0.0303169488907
612990000000,-0.0296896100044
612990000000,-0.0304621458054
613030000000,-0.0292888879776
613030000000,-0.029292345047
613070000000,-0.0297724604607
613070000000,-0.0285845994949
613110000000,-0.0297075510025
613110000000,-0.0296156406403
613150000000,-0.0317416191101
613150000000,-0.0307673811913
613190000000,-0.0313118696213
613190000000,-0.0331456065178
613230000000,-0.0330857038498
613230000000,-0.0327571034431
613270000000,-0.0334922671318
613270000000,-0.0330533385277
613310000000,-0.0322266221046
613310000000,-0.033547103405
613350000000,-0.0325298905373
613350000000,-0.0335093140602
613390000000,-0.0349951982498
613390000000,-0.0331780314445
613430000000,-0.0343447327614
613430000000,-0.0330095887184
613470000000,-0.0337358117104
613470000000,-0.0342872142792
613510000000,-0.0368706583977
613510000000,-0.0359470844269
613550000000,-0.0364260673523
613550000000,-0.0351296663284
613590000000,-0.035456776619
613590000000,-0.0375720858574
613630000000,-0.0353653430939
613630000000,-0.0374038219452
613670000000,-0.0367120504379
613670000000,-0.0375178456306
613710000000,-0.0361530184746
613710000000,-0.0375368595123
613750000000,-0.036749124527
613750000000,-0.0363212823868
613790000000,-0.0369181632996
613790000000,-0.0362330079079
613830000000,-0.0370655655861
613830000000,-0.0358316302299
613870000000,-0.0375846624374
613870000000,-0.0377586483955
613910000000,-0.0383026599884
613910000000,-0.0378948450089
613950000000,-0.038177549839
613950000000,-0.038422524929
613990000000,-0.037104845047
613990000000,-0.0388293266296
614030000000,-0.0372183918953
614030000000,-0.0372656583786
614070000000,-0.0370381474495
614070000000,-0.0383861660957
614110000000,-0.0366578698158
614110000000,-0.0363467335701
614150000000,-0.0366643667221
614150000000,-0.0361171364784
614190000000,-0.0361688137054
614190000000,-0.0356192588806
614230000000,-0.0356884598732
614230000000,-0.0355268716812
614270000000,-0.0356748700142
614270000000,-0.0355900526047
614310000000,-0.0371169447899
614310000000,-0.0354486703873
614350000000,-0.0355696082115
614350000000,-0.0354815721512
614390000000,-0.0355336070061
614390000000,-0.0357764959335
614430000000,-0.0359630584717
614430000000,-0.034341275692
614470000000,-0.0341808199883
614470000000,-0.0345290899277
614510000000,-0.0353054404259
614510000000,-0.0351722836494
614550000000,-0.0350334644318
614550000000,-0.0347695946693
614590000000,-0.0347763299942
614590000000,-0.0352873206139
614630000000,-0.0343573689461
614630000000,-0.0336331129074
614670000000,-0.0343650579453
614670000000,-0.0335745811462
614710000000,-0.0340111255646
614710000000,-0.033706843853
614750000000,-0.0341013669968
614750000000,-0.0358737111092
614790000000,-0.0347583293915
614790000000,-0.0327474474907
614830000000,-0.0330570340157
614830000000,-0.0336473584175
614870000000,-0.0319074988365
614870000000,-0.0322389006615
614910000000,-0.0324019193649
614910000000,-0.0315212607384
614950000000,-0.0308339595795
614950000000,-0.0311055779457
614990000000,-0.0328936576843
614990000000,-0.0314623117447
615030000000,-0.0307437181473
615030000000,-0.0307644605637
615070000000,-0.030361533165
615070000000,-0.0307524204254
615110000000,-0.030782699585
615110000000,-0.0315379500389
615150000000,-0.0290074944496
615150000000,-0.029888689518
615190000000,-0.028785943985
615190000000,-0.0290242433548
615230000000,-0.0293043851852
615230000000,-0.0273276567459
615270000000,-0.0276896357536
615270000000,-0.0271846055984
615310000000,-0.0269241929054
615310000000,-0.0285674929619
615350000000,-0.0281947255135
615350000000,-0.0272176861763
615390000000,-0.0272327661514
615390000000,-0.0258573293686
615430000000,-0.0248000621796
615430000000,-0.0263041257858
615470000000,-0.0258250832558
615470000000,-0.0259554386139
615510000000,-0.0257672667503
615510000000,-0.0253815054893
615550000000,-0.0255665183067
615550000000,-0.0242115259171
615590000000,-0.0248228907585
615590000000,-0.0245288610458
615630000000,-0.0251574516296
615630000000,-0.0242972970009
615670000000,-0.0242275595665
615670000000,-0.0245413184166
615710000000,-0.0253129601479
615710000000,-0.0260227918625
615750000000,-0.0246790647507
615750000000,-0.0243079066277
615790000000,-0.023995578289
615790000000,-0.0232547521591
615840000000,-0.0239800810814
615840000000,-0.0238949656487
